Team,G,PA,HR,R,RBI,SB, BB% , K% ,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Red Sox,23146,63216,1870,8102,7702,906, 0.09 , 0.19 ,0.167,0.309,0.267,0.335,0.435,0.333,104,-6.7,327,108.4,265.7
Yankees,23106,62238,2168,7909,7568,913, 0.09 , 0.20 ,0.174,0.292,0.256,0.329,0.431,0.329,105,67.1,466.3,-1.3,264.3
Dodgers,23991,61785,1736,7167,6810,851, 0.09 , 0.20 ,0.156,0.299,0.255,0.327,0.41,0.32,102,10.4,179.8,429.7,261.3
Cardinals,23905,62045,1674,7375,7008,693, 0.09 , 0.20 ,0.152,0.302,0.259,0.329,0.411,0.321,101,-27.8,67.7,392.5,247.3
Rays,23761,61718,1767,7013,6688,1054, 0.09 , 0.22 ,0.158,0.295,0.249,0.322,0.407,0.317,102,56.3,188.4,22.8,237.4
Brewers,23783,61509,1907,7118,6786,1195, 0.08 , 0.22 ,0.164,0.299,0.253,0.321,0.417,0.32,96,17.2,-248.4,521.7,226.4
Angels,23631,61305,1768,7199,6851,951, 0.08 , 0.19 ,0.154,0.29,0.254,0.319,0.408,0.316,101,-25.7,19.4,66,223.4
Nationals,23232,61762,1827,7281,6929,1031, 0.09 , 0.21 ,0.159,0.3,0.255,0.324,0.414,0.32,97,44.4,-182.9,344.4,215
Giants,23880,61533,1319,6610,6279,753, 0.08 , 0.20 ,0.135,0.299,0.254,0.315,0.389,0.306,94,-22.3,-522.8,602.5,208.2
Cubs,23750,61800,1779,7062,6718,680, 0.09 , 0.22 ,0.159,0.298,0.25,0.321,0.408,0.317,95,-16.2,-378.9,481.6,208.1
Diamondbacks,23316,62084,1725,7268,6924,999, 0.08 , 0.22 ,0.16,0.302,0.253,0.321,0.414,0.318,93,46,-489.7,561.8,206.9
Reds,23247,61843,1778,6993,6670,1016, 0.08 , 0.21 ,0.155,0.297,0.252,0.32,0.407,0.316,94,14.3,-474.7,495.6,201.8
Braves,23399,61739,1576,6908,6576,800, 0.09 , 0.21 ,0.145,0.299,0.252,0.322,0.397,0.313,93,9.3,-507.9,490.5,196.3
Mets,23752,61818,1661,6828,6553,832, 0.08 , 0.21 ,0.15,0.291,0.247,0.317,0.397,0.31,96,13.2,-255.3,190,191.5
Astros,23288,61332,1819,7114,6751,1014, 0.08 , 0.21 ,0.159,0.297,0.253,0.319,0.412,0.317,100,-43.5,-22.1,-105.6,190.4
Blue Jays,23401,61480,2142,7427,7090,795, 0.09 , 0.21 ,0.176,0.284,0.249,0.318,0.425,0.322,101,-42,-9,-237,190.1
Athletics,23210,61701,1783,7261,6899,821, 0.09 , 0.20 ,0.158,0.287,0.248,0.318,0.406,0.315,100,15.5,7.3,-286.1,185.8
Indians,23361,61811,1708,7282,6932,1057, 0.09 , 0.20 ,0.155,0.295,0.255,0.325,0.41,0.32,99,62.6,-1.9,-298.3,183.5
Rangers,22842,61766,1900,7679,7285,1129, 0.08 , 0.20 ,0.162,0.3,0.26,0.325,0.423,0.324,96,68.7,-216.1,-147.1,178.9
Tigers,23045,61756,1648,7203,6894,651, 0.08 , 0.20 ,0.153,0.312,0.265,0.327,0.418,0.323,101,-114.3,-74.4,-326.7,176.2
Twins,23050,62000,1690,7340,6994,777, 0.08 , 0.20 ,0.154,0.299,0.255,0.322,0.41,0.318,98,9.5,-158.3,-278.4,169
Pirates,23856,61387,1484,6708,6411,875, 0.08 , 0.21 ,0.143,0.3,0.251,0.317,0.395,0.31,94,-38.9,-511.2,76.2,154
Orioles,22880,61158,2064,7034,6738,598, 0.07 , 0.21 ,0.164,0.292,0.253,0.311,0.417,0.316,95,-66.9,-415.1,-246.9,146.5
Royals,22384,61114,1384,6811,6462,1256, 0.07 , 0.18 ,0.138,0.302,0.262,0.317,0.399,0.311,93,-23.2,-572.8,-81.9,146.4
Padres,23698,60412,1494,6301,5969,1119, 0.08 , 0.23 ,0.139,0.291,0.239,0.304,0.378,0.298,88,63.7,-820.8,352.1,146.3
Phillies,23248,61529,1608,6775,6460,892, 0.08 , 0.21 ,0.147,0.293,0.248,0.313,0.395,0.308,90,36.9,-710.5,213.2,145.8
Marlins,23464,61186,1371,6361,6048,846, 0.08 , 0.21 ,0.133,0.301,0.25,0.312,0.383,0.303,89,-20.8,-844.3,272.1,137.3
Mariners,22821,60977,1719,6555,6247,924, 0.08 , 0.21 ,0.148,0.288,0.244,0.309,0.392,0.305,95,-35.5,-417.3,-310.9,136.3
Rockies,23872,62013,1863,7745,7399,902, 0.08 , 0.21 ,0.168,0.317,0.268,0.328,0.436,0.329,89,19.7,-782,155.7,134.7
White Sox,22689,60915,1699,6790,6496,917, 0.07 , 0.21 ,0.149,0.3,0.254,0.313,0.403,0.312,94,-72.3,-514.6,-330.7,124.5
